"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:35","Tags","Add/Replace Tag on Resource Group with dynamic notScope","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/2076e19d-45f9-4564-a459-bb5a0aeaff85"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:35","Tags","Inherit Tag from Resource Group with dynamic notScope","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/5cc2cbfc-e306-4ec6-a141-eea3c79bb2ae"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:34","Tags","Resources Require Tag on resources with Exclusions","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/c0e2f9e2-c21d-4197-a54d-4a0c38738704"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:34","Tags","Require Tag on Resource Group with dynamic notScope","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/7ce92201-8036-4d55-938e-0dce0a5bc475"
"epac-dev","Assignment(Policy-Builtin)","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2024-05-24T13:33:05","","Storage account keys should not be expired","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyAssignments/e00dfeec8b6b469ca51f9dc4"
"epac-dev","Exemption(active)","unknownOwner","n/a","n/a","Waiver","EPAC-Dev - Storage account keys should not be expired","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyExemptions/f8048a263f7d46579caccab1"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Storage","Deploy SA Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_StorageAccount_Availability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy ExpressRoute Circuits QosDropBitsInPerSecond Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERCIR_QosDropBitsInPerSecond_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:47","Monitoring","Deploy Service Health Incident Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_Incident"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG  BGP Peer Status Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_BGPPeerStatus_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy AGW CPU Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_CPUUtilization_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:47","Network","Deploy PDNSZ Query Volume Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PDNSZ_QueryVolume_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy ERG ExpressRoute CPU Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERGw_ExpressRouteCpuUtil_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM CPU Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_CPU_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Site Recovery","Deploy RV Backup Health Monitoring Alerts","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_RecoveryVault_BackupHealthMonitor_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy Activity Log Route Table Update Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_RouteTable_Update"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy AGW ResponseStatus Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_ResponseStatus_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy AGW BackendLastByteResponseTime Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_BackendLastByteResponseTime_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy ExpressRoute Circuits Bgp Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERCIR_BgpAvailability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM Data Disk Space Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_dataDiskSpace_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy AFW FirewallHealth Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AFW_FirewallHealth_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM Network Read Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_NetworkIn_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ER Direct ExpressRoute RxLightLevel Low Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERP_ExpressRoutRxLightLevellow_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Ingress Packet Drop Count Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_TunnelIngressPacketDropCount_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy AGW Capacity Units Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_CapacityUnits_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Activity Log LA Workspace Regenerate Key Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_LAWorkspace_KeyRegen"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Networking","Deploy Frontdoor CDN Profile Origin Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_FrontdoorCDN_OriginLatency_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Ingress Packet Drop Mismatch Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_TunnelIngressPacketDropMismatch_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy ExpressRoute Circuits Arp Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERCIR_ArpAvailability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG ExpressRoute Bits Per Second Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_ExpressRouteBitsPerSecond_Alert"
"tenant","Policy","unknownOwner","f0047a79-83bb-4341-bc3d-e85b4a74b4ba","2023-02-22T11:10:04","","WebSiteDiag","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/e49df596-3047-40f3-b0c8-0ac4fd9872e6"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ER Direct ExpressRoute Bits Out Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERP_ExpressRouteBitsOut_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2024-01-29T13:40:51","Monitoring","Deploy Alert Processing Rule","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AlertProcessing_Rule"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-09-21T08:07:16","","Web Site LA Daif","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/f947d3e5-1c02-49c7-b09d-43cab08d7d5b"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy Frontdoor Backend Health Percentage Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_FD_BackendHealth_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Networking","Deploy Frontdoor CDN Profile Percentage5XX Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_FrontdoorCDN_Percentage5XX_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy AFW SNATPortUtilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AFW_SNATPortUtilization_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PDNSZ Registration Capacity Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_DNSZ_RegistrationCapacityUtil_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy AGW FailedRequests Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_FailedRequests_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ER Direct ExpressRoute TxLightLevel High Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERP_ExpressRoutTxLightLevell_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy ExpressRoute Circuits QosDropBitsOutPerSecond Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERCIR_QosDropBitsOutPerSecond_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-05-26T15:47:14","","[Append] Deploy RV Backup Health Monitoring Alerts","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_RecoveryVault_BackupHealthMonitor_Alerting"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:46","","Deploy AGW Compute Units Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_ComputeUnits_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM OS Disk Write Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_OSDiskwriteLatency_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PIP Packets in DDoS Attack Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PublicIp_PacketsInDDoSAttack_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Egress Packet Drop Mismatch Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelEgressPacketDropMismatch_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Key Vault","Deploy KeyVault Capacity Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_KeyVault_Capacity_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Service Health Maintenance Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_Maintenance"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ALB Data Path Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ALB_DataPathAvailability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Service Health Security Advisory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_SecurityAdvisory"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM Memory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_Memory_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy Activity Log Azure FireWall Delete Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_Firewall_Delete"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Ingress Packet Drop Count Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelIngressPacketDropCount_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Egress Packet Drop Count Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_TunnelEgressPacketDropCount_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Web Services","Deploy App Service Plan Disk Queue Length Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_WSF_DiskQueueLength_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PIP VIP Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PublicIp_VIPAvailability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy Frontdoor CDN Profile Origin Health Percentage Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_FrontDoorCDN_OriginHealthPercentage_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Resource Health Unhealthy Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ResourceHealth_Unhealthy_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Egress Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_Egress_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Bandwidth Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_BandwidthUtil_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:46","Compute","Deploy VM HeartBeat Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_HeartBeat_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy App Service Plan CPU Percentage Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_WSF_CPUPercentage_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:47","Network","Deploy VNetG Tunnel Ingress Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelIngress_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM HeartBeat Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_HeartBeat_Alert_RG"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ALB Used SNAT Ports Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ALB_UsedSNATPorts_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Activity Log LA Workspace Delete Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_LAWorkspace_Delete"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ER Direct ExpressRoute TxLightLevel Low Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERP_ExpressRoutTxLightLevellow_Alert"
"tenant","Policy","unknownOwner","f0047a79-83bb-4341-bc3d-e85b4a74b4ba","2023-10-30T15:34:14","Networking","Deploy Frontdoor Backend Request Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_Frontdoor_BackendRequestLatency_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy Activity Log VPN Gateway Delete Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_VPNGateway_Delete"
"tenant","Policy","unknownOwner","f0047a79-83bb-4341-bc3d-e85b4a74b4ba","2023-11-20T15:14:10","Monitoring","Deploy Service Health Advisory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_HealthAdvisory"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Key Vault","Deploy KeyVault Requests Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_KeyVault_Requests_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Ingress Packet Drop Mismatch Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelIngressPacketDropMismatch_Alert"
